Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Weight,Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2018,BMW,BMX,BMW,230i Coupe,V635700,0,2,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,3.91,37,1,Not eqipped,HBMX91003240,EPA,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0049324,0.2337029,337.1654796,0.0051066,,0.0013344,,26.4,MPG,26.7075616,25.0330771,29.0473488,,2.001032,1.20638,0.726437,40.6,0.121,0.01743,25,-0.029,0.01756,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V635700,0,2,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,3.91,37,1,Not eqipped,HBMX91003241,EPA,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0003896,0.0161873,192.9393758,0.0017963,,0.0003979,,46.1,MPG,,,,,3.001543,2.785468,0.209518,40.6,0.121,0.01743,25,-0.029,0.01756,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V635700,1,2,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,3.91,36.5,1,Not eqipped,HBMX10043306,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.00398,0.183,329.23,0.0079,,0.00081,0.00044,26.9,MPG,27.3,25.3,29.8,,-3.712,-2.239,-2.111,36.9,0.111,0.01744,22.7,-0.06,0.01793,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V635700,1,2,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,M,Manual,6,N,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,3.91,36.5,1,Not eqipped,HBMX10043308,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.00018,0.0165,188.88,0.0029,,0,,46.8,MPG,,,,,-3.093,-2.424,-0.322,36.9,0.111,0.01744,22.7,-0.06,0.01793,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V664102,0,2,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,2.81,25.2,1,Not eqipped,HBMX91003239,EPA,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0,0.025211,176.382268,0.0020771,,0.0003707,,50.6,MPG,,,,,3.292932,2.419458,0.535618,49.9,-0.204,0.02022,18.5,0.239,0.01453,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V664102,0,2,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,2.81,25.2,1,Not eqipped,HBMX91003242,EPA,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0049414,0.2191188,279.6961564,0.0051986,,0.0017583,,31.8,MPG,30.8014175,31.4366453,33.3216495,,2.848437,1.613549,1.632907,49.9,-0.204,0.02022,18.5,0.239,0.01453,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V664102,1,2,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,2.81,25.2,1,Not eqipped,HBMX10043779,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.00474,0.2737,298.27,0.0081,,0.00204,0.00086,29.7,MPG,28.7,29.2,31.4,,0.311,0.042,-1.475,49.9,-0.204,0.02022,18.5,0.239,0.01453,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V664102,2,2,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,2.81,24.8,1,Not eqipped,HBMX10043780,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.00665,0.4417,277.79,0.0085,,0.00203,0.00092,31.8,MPG,30.8,31.6,33,,-0.502,-0.466,-1.072,46.3,-0.215,0.02023,15,0.217,0.01464,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V664102,2,2,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,2.81,24.8,1,Not eqipped,HBMX10043781,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.00106,0.0609,174.52,0.0019,,0.00062,,50.5,MPG,,,,,2.114,1.425,-0.611,46.3,-0.215,0.02023,15,0.217,0.01464,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Coupe,V664102,3,2,HBMXV02.0B4X,Car,248,4,2.0-B46-F22,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,3625,2.81,24.8,1,Not eqipped,HBMX10043782,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.00542,0.394,294.22,0.0077,,0.00223,0.00104,30,MPG,29.6,29.4,31.7,,0.061,-0.19,-1.123,46.3,-0.215,0.02023,15,0.217,0.01464,TWC,Three-way catalyst,N,,,N,No averaging
